#,PAIR,AMOUNT,BASE PRICE,CLOSE PRICE,FUNDING COST,FUNDING TYPE,STATUS,UPDATED,CREATED,LEVERAGE
140355503,ETH/USD,0,123.62227307,,0,0,CLOSED,07-04-19 19:14:08,03-04-19 23:35:23,
140322700,ETH/USD,0,160.78398706,,0,0,CLOSED,03-04-19 22:46:13,02-04-19 20:30:29,
140322534,ETH/USD,0,148.85706637,,0,0,CLOSED,02-04-19 20:28:36,02-04-19 20:17:29,
140322119,ETH/USD,0,-28.35388687,,0,0,CLOSED,02-04-19 20:13:07,02-04-19 19:56:38,
140085804,ETH/USD,0,-64.73773874,,0,0,CLOSED,02-04-19 12:42:38,24-02-19 12:54:24,
139618957,BTC/USD,0,-1344932.19968801,,0,0,CLOSED,02-04-19 12:42:12,25-12-18 00:20:11,
140016253,ETH/USD,0,-1454.1253263,,0,0,CLOSED,24-02-19 06:28:47,17-02-19 20:26:04,
140003291,ETH/USD,0,-111.3432087,,0,0,CLOSED,17-02-19 18:32:23,15-02-19 12:57:02,
139958367,ETH/USD,0,-47.76937037,,0,0,CLOSED,11-02-19 21:41:20,08-02-19 15:53:57,
139759942,ETH/USD,0,445.30317675,,0,0,CLOSED,14-01-19 15:37:11,08-01-19 02:57:08,
139753197,ETH/USD,0,157.16962746,,0,0,CLOSED,06-01-19 23:26:07,06-01-19 23:24:16,
139751736,ETH/USD,0,154.86408009,,0,0,CLOSED,06-01-19 19:23:29,06-01-19 19:15:46,
139589249,BTC/USD,0,4076.19376488,,0,0,CLOSED,24-12-18 00:13:18,23-12-18 14:01:14,
139445625,ETH/USD,0,-93934.30615259,,0,0,CLOSED,23-12-18 14:25:17,12-12-18 00:03:31,
139399016,ETH/USD,0,340.90358476,,0,0,CLOSED,12-12-18 00:00:22,07-12-18 19:50:58,
137904672,ETH/BTC,0,13.89281374,,0,0,CLOSED,07-12-18 19:24:40,03-08-18 12:39:14,
139049042,ETH/USD,0,14036.36924868,,0,0,CLOSED,07-12-18 19:21:49,15-11-18 20:41:43,
138903032,ETH/USD,0,103.16120398,,0,0,CLOSED,15-11-18 16:31:25,02-11-18 14:55:08,
138886378,ZRX/USD,0,0.32023406,,0,0,CLOSED,02-11-18 14:50:51,29-10-18 18:05:42,
138884286,ETH/USD,0,168.02982306,,0,0,CLOSED,02-11-18 14:50:00,29-10-18 12:40:05,
138876999,ZRX/USD,0,-0.32734102,,0,0,CLOSED,28-10-18 16:16:58,27-10-18 16:30:23,
138747117,ETH/USD,0,129.8989593,,0,0,CLOSED,24-10-18 04:12:11,11-10-18 01:06:41,
138639027,ETH/USD,0,-12190.16449675,,0,0,CLOSED,05-10-18 22:08:58,28-09-18 19:26:53,
