#,DATE,CURRENCY,STATUS,AMOUNT,FEES,DESCRIPTION,TRANSACTION ID,NOTE
1702279,02-03-17 00:18:10,ETH,COMPLETED,-992.70989003,0,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x49bbc146e6a483b7570cb99cdf1e5b35ce2d2985e662d76a3ebb1039b1703f07,
1700791,01-03-17 15:28:40,ETH,COMPLETED,-1,0,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0xcd7564226d2564e37ad519e88d587843812bff3b14def5eaa7543dff8f014131,
1333179,24-02-17 18:56:35,BTC,COMPLETED,-10.85942723,-0.00021185,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,e5e3537cea85bf8439d00488666a99c5f7050e1a78e58b0575b70953db69256d,
1675229,17-02-17 16:52:13,ETH,COMPLETED,807.22051636,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0xa94344f5e0e43536d6db66d16df3a3ff479c80937302172bf685bc95d9629684,
1293155,12-08-16 11:21:22,ETH,COMPLETED,-1537.48746011,0,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,0x7c61fd45879c02d402fbc590b81f9cf04099fc119b51c0bef309d14408554a9c,
1293181,12-08-16 09:59:35,BTC,COMPLETED,-2.82351773,0,16eZRQryjsC3RSuk55v2V2NFTu2ZKSE27r,c92d9a1df84f81d451e9e64ab5798f1d75aa31df6ce874a250adf3d7608f651a,
1291537,12-08-16 07:18:35,ETH,COMPLETED,-500,0,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,0x1f740a944f98baaa467647781322f186177f044865c5cda000ecf927d523e592,
1291515,11-08-16 20:39:16,ETH,COMPLETED,-1,0,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,0x284027b2d8a1aa1ab548169c172221f5f2c26934a596112d8838a71fa4739dd1,
1256444,30-07-16 12:44:10,BTC,COMPLETED,-20,0.00026859,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,d3e99d154f96dab0ce0799dbcb9508e184093668c777607685d8c935cd7a803b,
1256364,30-07-16 11:46:37,ETH,COMPLETED,1007.99,0,0xf6d9562337fd79841b59565707c09efaea8afaa4,0x5873117aa42ec0512f61a882fd96f1c07d287575ca32fab2619f9e59a259d907,
1256298,30-07-16 11:03:10,BTC,COMPLETED,-20,0.0002991,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,80adcedd11a478de30b0c864902195ef4696143f2109c3ccf7ef7e9382775ffe,
1250198,28-07-16 15:08:42,ETH,COMPLETED,1389.99,0,0xf6d9562337fd79841b59565707c09efaea8afaa4,0x8333cfff44b008a8dc93bfe426c28108814e45f3d2f0e9c091308a7966895880,
1250164,28-07-16 15:08:37,ETH,COMPLETED,9.99,0,0xf6d9562337fd79841b59565707c09efaea8afaa4,0x6179f117171ba25608412c4cb548986515b7507ff0e65eda7dac4d71891fad22,
1179678,06-07-16 11:46:36,BTC,COMPLETED,29,0,3ETvVEw8PqGbkangtD8rcpyGQXvCHs6u15,f71c65517869e98d69d3650a414bdca28e57ce0d543f6e0b512fa4375107562b,
1179596,06-07-16 11:31:51,BTC,COMPLETED,35.9999,0,3ETvVEw8PqGbkangtD8rcpyGQXvCHs6u15,8a81f35e192097946b75df42bf402df87c244affc1009f784b66cc5c6883f009,
1179362,06-07-16 09:47:34,BTC,COMPLETED,0.9999,0,3ETvVEw8PqGbkangtD8rcpyGQXvCHs6u15,0e52d6ed93a6a6780a674bbbe4af6655a59dbfe0286323f531098759602c0331,
