Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee,Fee Currency,Fee Total
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00428580,0.30000000,0.00128574,0.2%,208762243959,-0.00128574,0.29940000,REP,0.00060000
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00428433,1.53498031,0.00657636,0.2%,208762243959,-0.00657636,1.53191035,REP,0.00306996
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00428252,0.95028200,0.00406960,0.2%,208762243959,-0.00406960,0.94838144,REP,0.00190056
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00427990,0.18984800,0.00081253,0.2%,208762243959,-0.00081253,0.18946831,REP,0.00037969
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00427947,2.38849050,0.01022147,0.2%,208762243959,-0.01022147,2.38371352,REP,0.00477698
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00427643,11.82667067,0.05057592,0.2%,208762243959,-0.05057592,11.80301733,REP,0.02365334
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00427616,8.00000000,0.03420928,0.2%,208762243959,-0.03420928,7.98400000,REP,0.01600000
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00427282,85.69074956,0.36614114,0.2%,208762243959,-0.36614114,85.51936807,REP,0.17138149
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00427000,4.99600001,0.02133292,0.2%,208762243959,-0.02133292,4.98600801,REP,0.00999200
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00426810,0.21696413,0.00092602,0.2%,208762243959,-0.00092602,0.21653021,REP,0.00043392
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00426360,34.77000000,0.14824537,0.2%,208762243959,-0.14824537,34.70046000,REP,0.06954000
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00426359,64.88000000,0.27662171,0.2%,208762243959,-0.27662171,64.75024000,REP,0.12976000
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00425980,0.34027965,0.00144952,0.2%,208762243959,-0.00144952,0.33959910,REP,0.00068055
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00425712,11.88495365,0.05059567,0.2%,208762243959,-0.05059567,11.86118375,REP,0.02376990
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00425509,30.77000000,0.13092911,0.2%,208762243959,-0.13092911,30.70846000,REP,0.06154000
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00425508,84.03000000,0.35755437,0.2%,208762243959,-0.35755437,83.86194000,REP,0.16806000
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00424660,13.77000000,0.05847568,0.2%,208762243959,-0.05847568,13.74246000,REP,0.02754000
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00424659,51.12100000,0.21708992,0.2%,208762243959,-0.21708992,51.01875800,REP,0.10224200
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00423942,0.26751228,0.00113409,0.2%,208762243959,-0.00113409,0.26697726,REP,0.00053502
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00423812,4.77000000,0.02021583,0.2%,208762243959,-0.02021583,4.76046000,REP,0.00954000
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00423792,10.06087501,0.04263718,0.2%,208762243959,-0.04263718,10.04075326,REP,0.02012175
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00423782,147.54013728,0.62524854,0.2%,208762243959,-0.62524854,147.24505701,REP,0.29508027
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00423782,21.80800000,0.09241837,0.2%,208762243959,-0.09241837,21.76438400,REP,0.04361600
2019-04-02 19:56:13,REP/BTC,Exchange,Buy,0.00366657,0.58264974,0.00213632,0.2%,208702479783,-0.00213632,0.58148445,REP,0.00116529
2019-04-02 19:56:13,REP/BTC,Exchange,Buy,0.00366657,73.81200000,0.27063686,0.2%,208702479783,-0.27063686,73.66437600,REP,0.14762400
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00368510,648.79999000,2.39089284,0.2%,208701451812,-2.39089284,647.50239002,REP,1.29759998
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00367761,47.77000000,0.17567942,0.2%,208701451812,-0.17567942,47.67446000,REP,0.09554000
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00367752,119.05097889,0.43781235,0.2%,208701451812,-0.43781235,118.81287694,REP,0.23810195
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00367327,13.72872048,0.05042929,0.2%,208701451812,-0.05042929,13.70126304,REP,0.02745744
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00366700,0.06119722,0.00022441,0.2%,208701451812,-0.00022441,0.06107483,REP,0.00012239
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00366699,64.88000000,0.23791431,0.2%,208701451812,-0.23791431,64.75024000,REP,0.12976000
2019-04-02 19:48:55,REP/BTC,Exchange,Buy,0.00366294,59.77000000,0.21893392,0.2%,208701451812,-0.21893392,59.65046000,REP,0.11954000
