Date,Currency,Amount,Fee Deducted,Amount - Fee,Address,Status
2016-07-06 10:43:36,BTC,36.00000000,0.00010000,35.9999,3ETvVEw8PqGbkangtD8rcpyGQXvCHs6u15,COMPLETE: 8a81f35e192097946b75df42bf402df87c244affc1009f784b66cc5c6883f009
2016-07-06 09:02:12,BTC,1.00000000,0.00010000,0.9999,3ETvVEw8PqGbkangtD8rcpyGQXvCHs6u15,COMPLETE: 0e52d6ed93a6a6780a674bbbe4af6655a59dbfe0286323f531098759602c0331
2016-07-04 09:55:39,BTC,0.10000000,0.00010000,0.0999,1F5gKeUr4igT7yo7G9BsLTRmdh9bZT9wSE,COMPLETE: e16beef8b929bd5b3363a5beed54e2bd95088c387746cda097d81d8aa2541d55
2016-07-03 06:58:52,BTC,0.10000000,0.00010000,0.0999,1F5gKeUr4igT7yo7G9BsLTRmdh9bZT9wSE,COMPLETE: b4fd39e0249fcf10ebc66174b1bdc5fa5c5d8880d25dfc39fcfaf4623e44ce58
2016-06-24 15:16:24,BTC,6.21688948,0.00010000,6.21678948,1swerAjQKj3XxesmKpb13TeMrYZee45Wd,COMPLETE: 75f29b6ffb739a04e9b1646a744e54dae9408699ed07f181f8848b9fdf24f60d
2016-06-22 07:11:10,BTC,33.56000000,0.00010000,33.5599,1BbRLCbDB28bq7bFBRQGdHN1MAjJPf6Zt9,COMPLETE: 5da06c89c064b75a16c1a992d2279d67fbb4d612191d66bf2a348f969e78a10d
2016-06-18 11:04:48,BTC,0.22000000,0.00010000,0.2199,1FffRNitAw8KBh1SevEFW7rxyY5WqpursX,COMPLETE: 0ee8be361996bc2f36f713faa12232500f12a3c942a37a6defd3e753ebde8aad
2016-06-18 07:09:33,BTC,0.00100000,0.00010000,0.0009,1FffRNitAw8KBh1SevEFW7rxyY5WqpursX,COMPLETE: a4ba33aea4f803992b9832df53f75ff6b6836986896de79dbe95aa0a00a93cbb
2016-06-17 13:47:38,BTC,15.00000000,0.00010000,14.9999,1Mtowt1GG1QznjYnncDiKDDky9YZrEySRH,COMPLETE: 427f2e23018c5c8f0d02c800424042aac7af583dc1a0259fb9c50e50c6a5ec6a
2016-06-01 06:27:29,DAO,1.00000000,0.01000000,0.99,0x4a6f553f0dbf08cf66cffe1f435531a1b3fbadbb,COMPLETE: 0x35454f8b0835e922dd64e8d50497189c1039f9076f13082ed1421d0cbed05485
2016-05-27 05:34:12,ETH,30.00000000,0.00000000,30,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,COMPLETE: 0x3d721cf854386ff2735cee3ed2fc61d4e80edf1bbecce428c968dce4387e61a4
