Currency,Rate,Amount,Duration,TotalFee,Open,Close
BTC,0.00036900,0.00715619,2.00070601,0.00000529,2016-10-04 00:09:39,2016-10-06 00:10:40
BTC,0.00036900,0.01860571,2.00070601,0.00001373,2016-10-04 00:09:39,2016-10-06 00:10:40
BTC,0.00036900,0.02208175,2.00070601,0.00001629,2016-10-04 00:09:39,2016-10-06 00:10:40
BTC,0.00036900,0.00476106,2.00070601,0.00000351,2016-10-04 00:09:39,2016-10-06 00:10:40
BTC,0.00036900,0.00200744,2.00070601,0.00000149,2016-10-04 00:09:39,2016-10-06 00:10:40
BTC,0.00036900,0.06626964,2.00070601,0.00004892,2016-10-04 00:09:39,2016-10-06 00:10:40
BTC,0.00036900,0.00100000,2.00070601,0.00000073,2016-10-04 00:09:39,2016-10-06 00:10:40
BTC,0.00036900,0.02633436,2.00070601,0.00001943,2016-10-04 00:09:39,2016-10-06 00:10:40
BTC,0.00036800,0.00189623,2.00068287,0.00000139,2016-10-04 00:07:36,2016-10-06 00:08:35
BTC,0.00036889,0.00869777,2.00068287,0.00000641,2016-10-04 00:07:36,2016-10-06 00:08:35
BTC,0.00036900,0.12528073,2.00067129,0.00009248,2016-10-04 00:07:37,2016-10-06 00:08:35
BTC,0.00040007,0.10744192,3.00032407,0.00012896,2016-10-03 00:08:07,2016-10-06 00:08:35
BTC,0.00036800,0.00130872,2.00068287,0.00000097,2016-10-04 00:06:34,2016-10-06 00:07:33
BTC,0.00036800,0.00100000,2.00068287,0.00000073,2016-10-04 00:06:34,2016-10-06 00:07:33
BTC,0.00036899,0.00100000,2.00068287,0.00000073,2016-10-04 00:06:34,2016-10-06 00:07:33
BTC,0.00036899,0.00100000,2.00068287,0.00000073,2016-10-04 00:06:34,2016-10-06 00:07:33
BTC,0.00036899,0.00113231,2.00068287,0.00000083,2016-10-04 00:06:34,2016-10-06 00:07:33
BTC,0.00036900,0.19844502,2.00067129,0.00014649,2016-10-04 00:06:35,2016-10-06 00:07:33
BTC,0.00036700,0.00100000,2.00069444,0.00000073,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,1.43887444,2.00069444,0.00106225,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.00100000,2.00069444,0.00000073,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.07350291,2.00069444,0.00005426,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.00182761,2.00069444,0.00000135,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.01969033,2.00069444,0.00001453,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.13214835,2.00069444,0.00009756,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.00425680,2.00069444,0.00000315,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.47845550,2.00069444,0.00035323,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.00193057,2.00069444,0.00000143,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.05613159,2.00069444,0.00004144,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.01271000,2.00069444,0.00000937,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.00787404,2.00069444,0.00000581,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.03005276,2.00069444,0.00002217,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.04834172,2.00069444,0.00003568,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,0.01131830,2.00069444,0.00000835,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036900,2.99695400,2.00069444,0.00221251,2016-10-04 00:05:29,2016-10-06 00:06:29
BTC,0.00036799,0.00102081,2.00069444,0.00000075,2016-10-04 00:04:27,2016-10-06 00:05:27
BTC,0.00036800,0.30483521,2.00069444,0.00022442,2016-10-04 00:04:27,2016-10-06 00:05:27
BTC,0.00036800,0.01978475,2.00069444,0.00001457,2016-10-04 00:04:27,2016-10-06 00:05:27
BTC,0.00053800,2.06110716,7.00070601,0.00776288,2016-09-29 00:04:26,2016-10-06 00:05:27
BTC,0.00030000,0.00000001,2.00068287,0.00000001,2016-10-04 00:03:24,2016-10-06 00:04:23
BTC,0.00030000,0.00032004,2.00068287,0.00000019,2016-10-04 00:03:24,2016-10-06 00:04:23
