Date,Currency,Amount,Address,Status
2019-05-15 06:04:42,BTC,3.99950000,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,COMPLETE
2019-05-03 20:25:59,REP,1400.00000000,0x8a1ec3b8f08b350b08944dc3da11f09d83eae0f7,COMPLETE
2019-03-22 19:17:20,REP,3002.00000000,0x8a1ec3b8f08b350b08944dc3da11f09d83eae0f7,COMPLETE
2018-06-06 20:22:23,ETH,245.99842141,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2018-03-15 03:20:49,ETH,499.99856471,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2017-12-10 23:43:57,ETH,149.99820546,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2017-12-06 10:54:57,ETH,149.99786232,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2017-12-02 01:28:55,ETH,149.99872252,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2017-11-18 21:52:41,ETH,399.99872253,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2017-10-08 22:21:59,ETH,299.99872253,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2017-10-02 14:57:49,ETH,179.99982154,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
